2025-12-02 22:06:51,958 - INFO - Using python-bitcoinlib for mainnet network
2025-12-02 22:06:51,971 - INFO - Got peer from DNS seed seed.bitcoin.sipa.be: 177.140.189.171:8333
2025-12-02 22:06:51,971 - INFO - Got peer from DNS seed seed.bitcoin.sipa.be: 172.232.181.64:8333
2025-12-02 22:06:51,971 - INFO - Got peer from DNS seed seed.bitcoin.sipa.be: 79.184.134.211:8333
2025-12-02 22:06:51,980 - INFO - Got peer from DNS seed dnsseed.bluematt.me: 147.124.81.171:8333
2025-12-02 22:06:51,980 - INFO - Got peer from DNS seed dnsseed.bluematt.me: 79.124.7.241:8333
2025-12-02 22:06:51,980 - INFO - Got peer from DNS seed dnsseed.bluematt.me: 195.123.217.63:8333
2025-12-02 22:06:51,989 - INFO - Got peer from DNS seed dnsseed.bitcoin.dashjr.org: 35.199.31.130:8333
2025-12-02 22:06:51,989 - INFO - Got peer from DNS seed dnsseed.bitcoin.dashjr.org: 98.82.198.99:8333
2025-12-02 22:06:51,989 - INFO - Got peer from DNS seed dnsseed.bitcoin.dashjr.org: 51.154.62.103:8333
2025-12-02 22:06:51,998 - INFO - Got peer from DNS seed seed.bitcoinstats.com: 173.46.87.16:8333
2025-12-02 22:06:51,998 - INFO - Got peer from DNS seed seed.bitcoinstats.com: 81.79.176.50:8333
2025-12-02 22:06:51,998 - INFO - Got peer from DNS seed seed.bitcoinstats.com: 56.126.33.251:8333
2025-12-02 22:06:52,008 - INFO - Got peer from DNS seed seed.bitcoin.jonasschnelli.ch: 43.200.189.153:8333
2025-12-02 22:06:52,008 - INFO - Got peer from DNS seed seed.bitcoin.jonasschnelli.ch: 123.100.246.234:8333
2025-12-02 22:06:52,008 - INFO - Got peer from DNS seed seed.bitcoin.jonasschnelli.ch: 184.174.95.132:8333
2025-12-02 22:06:52,076 - INFO - Got peer from DNS seed seed.btc.petertodd.org: 98.201.34.12:8333
2025-12-02 22:06:52,076 - INFO - Got peer from DNS seed seed.btc.petertodd.org: 172.104.136.183:8333
2025-12-02 22:06:52,076 - INFO - Got peer from DNS seed seed.btc.petertodd.org: 126.122.116.61:8333
2025-12-02 22:06:52,076 - INFO - Starting crawl with 18 initial peers
2025-12-02 22:10:14,739 - INFO - Crawling 81.151.123.36:9333 (37/500 visited, 3649 discovered)
2025-12-02 22:10:24,943 - INFO - Crawling 58.188.208.187:8333 (38/500 visited, 3649 discovered)
2025-12-02 22:10:35,146 - INFO - Crawling 24.98.51.206:8333 (39/500 visited, 3649 discovered)
2025-12-02 22:10:45,349 - INFO - Crawling 95.111.248.89:8333 (40/500 visited, 3649 discovered)
2025-12-02 22:10:45,810 - INFO - Crawling 179.104.182.9:8333 (41/500 visited, 3649 discovered)
2025-12-02 22:10:56,014 - INFO - Crawling 80.56.131.20:8333 (42/500 visited, 3649 discovered)
2025-12-02 22:11:06,217 - INFO - Crawling 185.220.101.19:8333 (43/500 visited, 3649 discovered)
2025-12-02 22:11:06,487 - INFO - Crawling 5.75.207.221:39388 (44/500 visited, 3649 discovered)
2025-12-02 22:11:16,690 - INFO - Crawling 23.234.88.37:8333 (45/500 visited, 3649 discovered)
2025-12-02 22:11:26,893 - INFO - Crawling 73.110.20.202:8333 (46/500 visited, 3649 discovered)
2025-12-02 22:11:37,097 - INFO - Crawling 149.34.244.175:8333 (47/500 visited, 3649 discovered)
2025-12-02 22:11:47,299 - INFO - Crawling 43.153.54.72:8333 (48/500 visited, 3649 discovered)
2025-12-02 22:11:57,502 - INFO - Crawling 120.153.77.127:8333 (49/500 visited, 3649 discovered)
2025-12-02 22:12:07,706 - INFO - Crawling 94.156.182.80:8333 (50/500 visited, 3649 discovered)
2025-12-02 22:12:17,909 - INFO - Crawling 95.105.172.171:8333 (51/500 visited, 3649 discovered)
2025-12-02 22:12:18,203 - INFO - Crawling 207.96.42.6:8333 (52/500 visited, 3649 discovered)
2025-12-02 22:12:28,407 - INFO - Crawling 82.154.149.206:8333 (53/500 visited, 3649 discovered)
2025-12-02 22:12:38,611 - INFO - Crawling 24.88.45.225:8333 (54/500 visited, 3649 discovered)
2025-12-02 22:12:39,520 - INFO - Crawling 40.160.1.201:8333 (55/500 visited, 3649 discovered)
2025-12-02 22:12:49,722 - INFO - Crawling 103.47.56.114:8333 (56/500 visited, 3649 discovered)
2025-12-02 22:12:52,595 - INFO - Discovered 1000 peers from 103.47.56.114:8333
